Country,Approval of China Leadership,Approval of Germany Leadership,Approval of Russia Leadership,Approval of US Leadership,Confidence in Judicial System,Confidence in Military,Corruption in Government,Freedom of Media,Good place for Gay People,Good place for Minorities,Honesty of Elections,Move Away or Stay
Egypt (2024),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8755131172798731,0.0,0.9934529462957765,0.9483166468604608,0.9848325131502977
El Salvador (2024),0.997052395910873,0.9922291736996864,0.9892728718805686,0.9607244234287958,0.987523291397573,0.9984290164771232,0.9769917562565099,0.9957490651744555,0.9971589568567976,0.9704283992513866,0.9886937112391532,0.9800146766221672
Estonia (2024),0.9948234249141041,0.9779787416041293,0.992313462153432,0.9918063314394149,0.9825235688022238,0.997380657916675,0.9889071099360038,0.9839798024545469,0.9960535119982417,0.9911650188944375,0.9890083745742436,0.9856380372958848
Eswatini (2023),0.9769592862265128,0.9991880371667121,0.9571449673573054,0.9832205755910214,0.9974535091195988,0.9878791974089778,0.9852560367210693,0.9994336099942491,0.9567508052019882,0.989943635404308,0.982829837904869,0.9808164887446887
Ethiopia (2023),0.9296249206314046,0.9935873066209572,0.9915726404124544,0.9653395449671411,0.0,0.0,0.9861817403957484,0.9895077301256934,0.0,0.0,0.0,0.953620574224173
Finland (2024),0.9471632073518674,0.9894134720456778,0.9786398647586753,0.9968744323073879,0.9956768929326805,0.9759127248317884,0.9912143997484114,0.977485378455169,0.9909484376958664,0.9991058697448689,0.9895960700321349,0.9957819312193543
France (2024),0.9586079165175685,0.9940440935980538,0.9924662492532625,0.9933049255048446,0.9796719015346902,0.9568643861380849,0.9931662479086147,0.9625821404076973,0.9979250593225698,0.9912414648872011,0.978436158820578,0.9805283374099628
Gabon (2023),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9184655272691815,0.9896636095933486,0.0,0.9648045722957528
Gambia (2023),0.9882641114836545,0.9939377601178179,0.9975525692099658,0.9661563974710672,0.9627061345869031,0.9860534089730042,0.9962966815922085,0.9406627966504456,0.858693266785458,0.9148742735390101,0.9700539645574818,0.9758150949896888
Georgia (2024),0.9831958206265945,0.9960275304936898,0.927560601229588,0.9940219266940562,0.9873107164852999,0.9903215023019258,0.963890481942197,0.9682338361987488,0.9816392627588407,0.9561611414137896,0.9911237272916414,0.9888434046834956
Germany (2024),0.9285118159722551,0.0,0.9625907469894399,0.9758672056166263,0.990079349080833,0.9767348807310401,0.9908845312722926,0.9816957220114672,0.9916749707918375,0.9930836520825399,0.9702125669077571,0.9854447939432018
Ghana (2023),0.9802800943769969,0.9919722061652905,0.9631598029501798,0.901660379983076,0.9841888362731587,0.9482705505779044,0.9933681515353338,0.9651068723107352,0.95299724864229,0.9823507965607391,0.9907532129973227,0.9578497645645019
Greece (2024),0.9836503396669705,0.9891625152758583,0.9801302561801281,0.9813883481306076,0.9961188038900177,0.9812697273081614,0.98486991909163,0.9894605976408041,0.9914207186553049,0.9878921227736133,0.9364685659865987,0.9845405618421034
Guatemala (2024),0.9704122427070945,0.9303252637931296,0.9710581691178449,0.9640383281875688,0.9930624381047182,0.978508255667692,0.9888371013121404,0.9411130445353871,0.9670212738198918,0.8650025742085781,0.9834748440769695,0.9902909108341561
Guinea (2023),0.9905711841639387,0.9845518796427922,0.9947339378187735,0.9584850210652086,0.9910966363453206,0.9922524080020724,0.9957873765682134,0.9955588401284825,0.9594816286875638,0.997602852564504,0.985460082330878,0.9388960483921455
Haiti (2018),0.9984297420839561,0.9961136877165143,0.9943705748599319,0.9257153848747103,0.9936365145530307,0.9914122911467061,0.9850909918507579,0.9572572422316012,0.9899483731949672,0.9902012492649066,0.9900966695350111,0.9882116334258141
Honduras (2024),0.9896748265167402,0.984149426662166,0.9862588347852028,0.9628860004347636,0.9891116307197791,0.994009858048006,0.9911907253842308,0.936654101486343,0.9718188998403342,0.9628476191958891,0.9883501661790353,0.9902398679190192
Hong Kong (2023),0.9740783672506481,0.9865320645470037,0.9624070628432411,0.9495160208005476,0.9892051049160845,0.9949973664051457,0.9450302926915227,0.9655528373207041,0.9741308563672337,0.9789957378197787,0.9893744371124147,0.9790873914845316
Hungary (2024),0.9650388611608992,0.9998150036091108,0.992607664321874,0.9848164506945976,0.9927209589805267,0.968308891282572,0.9902224126913518,0.9734988517186774,0.9839359643746262,0.9361070551393521,0.9713505267171934,0.975707662379939
